individual,Specimen,Lat,Long,year,2011 Bin sch. 1,2011 Bin sch. 2,2011 Bin sch. 3,Spinks group (prelim),,Parham sex,Buskirk sex,prelim sex bin,notes,,Specimens are in the order in which they appear in the TPS file.,
227,MVZ 78786,37.947488,119.787659,1955,marm,marm,SJ,1?,1,F,F,2,,,,
228,MVZ 79571,36.902752,121.752833999999,1965,CCR,CCR,CCR,1?,1,J,J,3,,,,
229,MVZ 83561,36.8515761,121.429807999999,1968,CCR,CCR,CCR,1?,1,F?,F?,2,,,,
230,MVZ 83562,36.8515761,121.429807999999,1968,CCR,CCR,CCR,1?,1,?,F?,?,,,,
231,MVZ 83563,36.472323,121.1527483,1967,CCR,CCR,CCR,1?,1,?,F?,?,,,,
232,MVZ 83631,36.461477,121.0651675,1968,CCR,CCR,CCR,1?,1,M,M,1,,,,
233,MVZ 98670,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,J,2,,,,
234,MVZ 98671,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
235,MVZ 98672,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
236,MVZ 98673,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,F,3,,,,
237,MVZ 98674,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,F,3,,,,
238,MVZ 98675,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
239,MVZ 98676,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,F,3,,,,
240,MVZ 98678,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,J,2,,,,
241,MVZ 98679,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F?,2,,,,
242,MVZ 98680,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
243,MVZ 98681,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F?,2,,,,
244,MVZ 98682,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
245,MVZ 98683,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
246,MVZ 98684,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
247,MVZ 98685,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
248,MVZ 98686,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
249,MVZ 98687,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
250,MVZ 98688,40.5494448,123.20742,1968,marm,marm,marm,1,1,M?,F,1,,,,
251,MVZ 98689,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
252,MVZ 98690,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,F,3,,,,
253,MVZ 98691,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
254,MVZ 98692,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
255,MVZ 98693,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
256,MVZ 98694,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
257,MVZ 98695,40.5494448,123.20742,1968,marm,marm,marm,1,1,?,F,?,,,,
258,MVZ 98696,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,?,2,,,,
259,MVZ 98697,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
260,MVZ 98698,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
261,MVZ 98699,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
262,MVZ 98700,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F?,2,,,,
263,MVZ 98701,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
264,MVZ 98702,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
265,MVZ 98704,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
266,MVZ 98705,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
267,MVZ 98706,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
268,MVZ 98707,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
269,MVZ 98708,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
270,MVZ 98709,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
271,MVZ 98710,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
272,MVZ 98711,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
273,MVZ 98713,40.5494448,123.20742,1968,marm,marm,marm,1,1,F,F,2,,,,
274,MVZ 98714,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
275,MVZ 98715,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
276,MVZ 98716,40.5494448,123.20742,1968,marm,marm,marm,1,1,M,M,1,,,,
277,MVZ 98717,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
278,MVZ 98719,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
279,MVZ 98720,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
280,MVZ 98721,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
281,MVZ 98722,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
282,MVZ 98724,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,M,2,,,,
283,MVZ 98725,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,J,3,,,,
284,MVZ 98726,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,J,3,,,,
285,MVZ 98727,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
286,MVZ 98728,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,M,3,,,,
287,MVZ 98729,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
288,MVZ 98730,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
289,MVZ 98731,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
290,MVZ 98732,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
291,MVZ 98733,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
292,MVZ 98735,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,?,2,,,,
293,MVZ 98736,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
294,MVZ 98737,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
295,MVZ 98738,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,M,M,1,,,,
296,MVZ 98739,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,M,M,1,,,,
297,MVZ 98740,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,M,M,1,,,,
298,MVZ 98741,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,J,M,3,,,,
299,MVZ 98742,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,M,M,1,,,,
300,MVZ 98743,40.4691869999999,123.1693496,1968,marm,marm,marm,1,1,F,J,2,,,,
301,MVZ 98744,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
302,MVZ 98745,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
303,MVZ 98746,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
304,MVZ 98747,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
305,MVZ 98748,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
306,MVZ 98749,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
307,MVZ 98750,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
308,MVZ 98751,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
309,MVZ 98752,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
310,MVZ 98753,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
311,MVZ 98754,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
312,MVZ 98755,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,M,1,,,,
313,MVZ 98756,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,F,1,,,,
314,MVZ 98757,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M?,F,1,,,,
315,MVZ 98758,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,M,1,,,,
316,MVZ 98759,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,F,F,2,,,,
317,MVZ 98760,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,M?,1,,,,
318,MVZ 98761,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,M,1,,,,
319,MVZ 98762,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,M,M,1,,,,
320,MVZ 98764,40.4691869999999,123.1693496,1969,marm,marm,marm,1,1,F,F,2,,,,
321,MVZ 98765,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
322,MVZ 98766,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,F,3,,,,
323,MVZ 98767,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,M?,2,,,,
324,MVZ 98768,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
325,MVZ 98769,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,F,1,,,,
326,MVZ 98770,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
327,MVZ 98771,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
328,MVZ 98772,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,F,3,,,,
329,MVZ 98773,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
330,MVZ 98774,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
331,MVZ 98775,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
332,MVZ 98776,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
333,MVZ 98777,40.5494448,123.20742,1969,marm,marm,marm,1,1,J,J,3,,,,
334,MVZ 98778,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
335,MVZ 98779,40.5494448,123.20742,1969,marm,marm,marm,1,1,F,F,2,,,,
336,MVZ 98780,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
337,MVZ 98782,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
338,MVZ 98783,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,,,,
339,MVZ 98784,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M?,1,,,,
340,MVZ 98785,40.5494448,123.20742,1970,marm,marm,marm,1,1,F,F,2,,,,
341,MVZ 98786,40.5494448,123.20742,1970,marm,marm,marm,1,1,F,F,2,,,,
342,MVZ 98787,40.5494448,123.20742,1970,marm,marm,marm,1,1,J,J,3,,,,
343,MVZ 98788,40.5494448,123.20742,1970,marm,marm,marm,1,1,F,J,2,,,,
344,MVZ 98789,40.5494448,123.20742,1970,marm,marm,marm,1,1,M,M,1,,,,
345,MVZ 98790,40.5494448,123.20742,1970,marm,marm,marm,1,1,F,F,2,,,,
346,MVZ 98791,40.5494448,123.20742,1970,marm,marm,marm,1,1,F,F,2,,,,
347,MVZ 98792,40.5494448,123.20742,1970,marm,marm,marm,1,1,M,M,1,,,,
348,MVZ 98793,40.5494448,123.20742,1970,marm,marm,marm,1,1,M,M,1,,,,
349,MVZ 98794,40.5494448,123.20742,1971,marm,marm,marm,1,1,J,J,3,,,,
350,MVZ 98795,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,J,3,,,,
351,MVZ 98798,40.5494448,123.20742,1970,marm,marm,marm,1,1,J,J,3,,,,
352,MVZ 98799,40.5494448,123.20742,1970,marm,marm,marm,1,1,J,F?,3,,,,
353,MVZ 99271,40.5494448,123.20742,1970,marm,marm,marm,1,1,J,F,3,,,,
354,MVZ 100397,37.8964,122.3542,1972,CCR,CCR,CCR,1?,1,M,F,1,Coords are for Brooks Island,,,
355,MVZ 111295,40.5494448,123.20742,1971,marm,marm,marm,1,1,?,M?,?,,,,
356,MVZ 111296,40.5494448,123.20742,1971,marm,marm,marm,1,1,?,F?,?,,,,
357,MVZ 111297,40.5494448,123.20742,,marm,marm,marm,1,1,?,F,?,,,,
358,MVZ 129928,34.5815868999999,120.1073746,1975,CCR,CCR,CCR,3,3,?,F?,?,,,,
359,MVZ 137810,37.4476269999999,119.855560999999,1976,marm,marm,SJ,1,1,M,M,1,,,,
360,MVZ 137811,37.4476269999999,119.855560999999,1976,marm,marm,SJ,1,1,F,?,2,,,,
361,MVZ 149676,38.8392403,122.3890987,1977,marm,marm,marm,1,1,M,F,1,,,,
362,MVZ 149677,38.8392403,122.3890987,1977,marm,marm,marm,1,1,J,J,3,,,,
363,MVZ 149678,38.8392403,122.3890987,1977,marm,marm,marm,1,1,J,J,3,,,,
364,MVZ 149679,38.8392403,122.3890987,1977,marm,marm,marm,1,1,?,F,?,,,,
365,MVZ 164994,38.8392403,122.3890987,1977,marm,marm,marm,1,1,J,J,3,,,,
366,MVZ 164995,38.8392403,122.3890987,1977,marm,marm,marm,1,1,J,J,3,,,,
367,MVZ 164996,38.8392403,122.3890987,1977,marm,marm,marm,1,1,M,F,1,,,,
368,MVZ 164998,38.8392403,122.3890987,1977,marm,marm,marm,1,1,J,J,3,,,,
369,MVZ 187673,37.6126701,121.7419441,1960,CCR,CCR,CCR,1?,1,M,M,1,,,,
370,MVZ 187674,39.4094673,123.5021747,1960,marm,marm,marm,1,1,F,J,2,,,,
371,MVZ 187675,35.0223885999999,120.2263944,,CCR,CCR,CCR,1?,1,?,J,?,,,,
372,MVZ 187676,35.0223885999999,120.2263944,1960,CCR,CCR,CCR,1?,1,J,J,3,,,,
373,MVZ 199665,?,?,,?,?,?,,,M,M,1,No specific locality recorded,,,
374,MVZ 199669,?,?,,?,?,?,,,J,J,3,No specific locality recorded,,,
375,MVZ 207755,36.6968999999999,120.3357,1983,CCR,marm,SJ,2?,2,M,M,1,,,,
376,MVZ 207756,35.7291834999999,118.1366644,1984,marm,marm,SJ,2,2,M,M,1,,,,
377,MVZ 207757,35.622835,121.139309,1984,CCR,CCR,CCR,1,1,F?,M,2,,,,
378,MVZ 207758,35.622835,121.139309,1981,CCR,CCR,CCR,1,1,F,F,2,,,,
379,MVZ 207759,31.1125,115.8336111,1975,pall,pall,pall,4,4,J,J,3,,,,
380,MVZ 207760,31.1125,115.8336111,1973,pall,pall,pall,4,4,J,J,3,,,,
381,MVZ 207761,31.1125,115.8336111,1973,pall,pall,pall,4,4,M,M,1,,,,
382,MVZ 207762,31.1125,115.8336111,1973,pall,pall,pall,4,4,J,J,3,,,,
383,MVZ 207763,31.1125,115.8336111,1973,pall,pall,pall,4,4,J,M?,3,,,,
384,MVZ 208230,41.5346702,122.5089399,1987,marm,marm,marm,1,1,F,F,2,,,,
385,MVZ 208231,41.5346702,122.5089399,1987,marm,marm,marm,1,1,J,J,3,,,,
386,MVZ 208232,38.8370919999999,122.360292,1987,marm,marm,marm,1,1,?,F?,?,,,,
387,MVZ 227728,35.0374379,116.3822158,1987,pall,pall,pall,4,4,J,J,3,Afton Canyon population,,,
388,MVZ 229219,37.9511805,121.962871699999,1998,CCR,CCR,CCR,1?,1,M,M,1,,,,
389,MVZ 229223,?,?,,?,?,?,,,?,F?,?,No specific locality recorded,,,
390,MVZ 230252,36.3854984,121.5548744,1999,CCR,CCR,CCR,1?,1,J,J,3,,,,
391,MVZ 238089,36.6972,119.8911,1999,marm,marm,SJ,2?,2,M,M,1,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
392,MVZ 238090,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
393,MVZ 238091,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
394,MVZ 238092,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
395,MVZ 238093,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
396,MVZ 238094,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
397,MVZ 238095,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
398,MVZ 238096,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
399,MVZ 238097,36.6972,119.8911,1999,marm,marm,SJ,2?,2,M,M,1,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
400,MVZ 238098,36.6972,119.8911,1999,marm,marm,SJ,2?,2,M?,M,1,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
401,MVZ 238099,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
402,MVZ 238100,36.6972,119.8911,1999,marm,marm,SJ,2?,2,M,M,1,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
403,MVZ 238101,36.6972,119.8911,1999,marm,marm,SJ,2?,2,F,F,2,"Coords are for the large wastewater treatment plant outside of Fresno (i.e., southwest of Fresno), where dry creek canal meets plant",,,
404,MVZ 238102,36.736,120.2667,1999,CCR,marm,SJ,2?,2,J,J,3,Coords are for an unnamed creek that is just north of hwy 180 and is just under 4.7 miles east of the Mendota Waterfowl Management Area,,,
405,MVZ 238103,35.5653,119.5358,1998,CCR,marm,SJ,2?,2,M,M,1,"No specific locality recorded, but Goose lake seems most likely; from available information; I have used same coordinates for this specimen as for the next few",,,
406,MVZ 238104,35.5653,119.5358,1998,CCR,marm,SJ,2?,2,M,M,1,Coords are for a point on goose lake canal in goose lake bed near a small road,,,
407,MVZ 238105,35.5653,119.5358,1999,CCR,marm,SJ,2?,2,M,M,1,Coords are for a point on goose lake canal in goose lake bed near a small road,,,
408,MVZ 238106,35.5653,119.5358,2002,CCR,marm,SJ,2?,2,F,F,2,Coords are for a point on goose lake canal in goose lake bed near a small road,,,
409,MVZ 238107,35.5653,119.5358,1999,CCR,marm,SJ,2?,2,M,M,1,Coords are for a point on goose lake canal in goose lake bed near a small road,,,
410,LSUMZ 8421,36.2847,120.8408,1949,CCR,CCR,CCR,1?,1,n/a,,n/a,coords are for a point ~12 miles (linear) from priest valley on lewis creek road,,,
411,LSUMZ 12585,38.989394,123.4333,1948,marm,marm,marm,1,1,n/a,,n/a,Coords are for a point on Rancheria creek se of Boonsville where mountain view road crosses the creek,,,
412,LSUMZ 16352,37.5181,121.545,1967,CCR,CCR,CCR,1?,1,n/a,,n/a,Coords are for a point on arroyo mocho along mines rd. 15 linear miles southeast of edge of livermore,,,
413,LSUMZ 16353,37.5181,121.545,1967,CCR,CCR,CCR,1?,1,n/a,,n/a,Coords are for a point on arroyo mocho along mines rd. 15 linear miles southeast of edge of livermore,,,
414,LSUMZ 16354,38.90347,122.63833,1967,marm,marm,marm,1,1,n/a,,n/a,coords are for a point about 2 miles west southwest of lower lake on siegler canyon creek/siegler canyon creek road,,,
415,LSUMZ 16355,38.90347,122.63833,1967,marm,marm,marm,1,1,n/a,,n/a,coords are for a point about 2 miles west southwest of lower lake on siegler canyon creek/siegler canyon creek road,,,
416,LSUMZ 18504,35.300071,119.2583,1963,CCR,marm,SJ,2?,2,n/a,,n/a,coords are for a point roughly 5 miles due east of tupman; this is near where highway 5 crosses the kern river,,,
417,LSUMZ 29561,38.34894,123.07667,1967,marm,marm,marm,1,1,n/a,,n/a,coords are for a point where highway 1 crosses salmon creek,,,
418,LSUMZ 29562,39.58639,122.53139,1963,marm,marm,marm,1,1,n/a,,n/a,"locality data is very vague; in particular can't find ""stonyfork;"" coords I'm using are for stony gorge dam, which is close to where highway 162 crosses stony creek; this is very approximate to say the least though",,,
419,LSUMZ 75059,?,?,,?,?,?,,,n/a,,n/a,No specific locality recorded,,,
420,LSUMZ 82444,?,?,,?,?,?,,,n/a,,n/a,No specific locality recorded,,,
421,LSUMZ 84379,36.6968999999999,120.3357,1983,CCR,marm,SJ,2?,2,n/a,,n/a,this seems to be the same locality as MVZ 207755; I've used same coords as for that specimen,,,
422,LSUMZ 84380,35.5625,120.95167,1981,CCR,CCR,CCR,1?,1,n/a,,n/a,coords are for a point 6.5 miles east (linear) from main st. on road that parallels santa rosa creek,,,
423,LSUMZ 84381,36.5916667,120.78833,1952,CCR,CCR,CCR,1?,1,n/a,,n/a,"coords are for a point about 3.8 miles west of cty line on panoche rd., where it crosses a small, unnamed stream",,,
424,LSUMZ 84382,35.68472,118.1792,1984,marm,marm,SJ,2,2,n/a,,n/a,Coords are for a point on Hwy 178 about 9.5 miles east of Kelso valley rd. near Kern River,,,
425,LSUMZ 84383,35.68472,118.1792,1984,marm,marm,SJ,2,2,n/a,,n/a,Coords are for a point on Hwy 178 about 9.5 miles east of Kelso valley rd. near Kern River,,,
426,LSUMZ 84384,37.090636,119.721442999999,1952,marm,marm,SJ,1?,1,n/a,,n/a,same locality as MVZ 58174 and 58175; used same coords as for these specimens; very close to coarse gold creek,,,
427,CAS 54252,35.75805556,120.8836111,1922,CCR,CCR,CCR,1?,1,F,,2,"This specimen has LM 10 obscured; coords are for tierra redondo mountain, which is next to dammed lake that is along nacimiento river; assigned to northern clade because everything else from ",,,
428,MVZ 98677,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,,3,this specimen has lm 10 and 19 obscured,,,
429,MVZ 98718,40.5494448,123.20742,1968,marm,marm,marm,1,1,J,,3,,,,
430,MVZ 98734,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,this specimen had LM 15 and 19 obscured,,,
431,MVZ 98781,40.5494448,123.20742,1969,marm,marm,marm,1,1,M,M,1,this specimen has lm 19 obscured,,,
432,CAS 154955,38.566667,122.7,1982,marm,marm,marm,1,1,,,,,,,
433,UCMP 119091,?,?,,marm,marm,marm,1,1,,,,from oregon,,,
434,KDA 0001,34.673,118.8374833,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
435,KDA 0002,34.67335,118.8355667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
436,KDA 0003,34.67335,118.8355667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,6/14/05 Piru Creek
437,KDA 0004,34.67335,118.8355667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0001: 34 40.38N, 18 50.249W"
438,KDA 0005,34.67335,118.8355667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0002-0005: 34 40.401, 118 50.134"
439,KDA 0006,34.675,118.8370667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0006: 34 40.500, 118 50.224"
440,KDA 0007,34.67995,118.8387667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0007-0010: 34 40.797, 118 50.326"
441,KDA 0008,34.67995,118.8387667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0011-0013: 34 40.891, 118 50.490"
442,KDA 0009,34.67995,118.8387667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0014 34 41.190, 118 50.795"
443,KDA 0010,34.67995,118.8387667,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0015-0019: 34 41.709, 118 51.288"
444,KDA 0011,34.68151667,118.8415,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0020-0025 34 41.646, 118 51.469"
445,KDA 0012,34.68151667,118.8415,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
446,KDA 0013,34.68151667,118.8415,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,6/15/05 Sant Ynez Mts.
447,KDA 0014,34.6865,118.8465833,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0026: 34 29.195, 119 31.441"
448,KDA 0015,34.69515,118.8548,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
449,KDA 0016,34.69515,118.8548,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,6/16/05 Chimeneas Ranch
450,KDA 0017,34.69515,118.8548,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0027-0031: 35 11.178, 119 59.078"
451,KDA 0018,34.69515,118.8548,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0032: 35 12.270, 120 2.330"
452,KDA 0019,34.69515,118.8548,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,"KDA 0033-0063: 35 8.608, 120 1.601"
453,KDA 0020,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
454,KDA 0021,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
455,KDA 0022,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
456,KDA 0023,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
457,KDA 0024,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
458,KDA 0025,34.6941,118.8578167,,CCR,CCR,CCR,3?,3,,,,Piru Creek,,,
459,KDA 0026,34.48658333,119.5240167,,CCR,CCR,CCR,3,3,,,,Santa Ynez Mountains,,,
460,KDA 0027,35.1863,119.984633,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
461,KDA 0028,35.1863,119.984633,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
462,KDA 0029,35.1863,119.984633,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
463,KDA 0030,35.1863,119.984633,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
464,KDA 0031,35.1863,119.984633,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
465,KDA 0032,35.2045,120.0388333,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
466,KDA 0033,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
467,KDA 0034,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
468,KDA 0035,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
469,KDA 0036,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
470,KDA 0037,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
471,KDA 0038,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
472,KDA 0039,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
